,index,Method,Test Case,ID,Crashes,Non Crashes,Predicates,SLOC,Steps To Root Cause,Trace Analysis Time,Monitoring Time,Ranking Time,Tracing Time,Instructions Traced,Total Instructions,Time to Prepare For Tracing
41,70,loc with source,mruby_uninitialized_variable_trace,2,47.8,920,1.6,1.6,0,24.186,567.288,0.52,369.87,7531.2,34985.2,0.052
42,10,aurora,mruby_uninitialized_variable_trace,2,47.8,920,2,1.8,0,103.818,1484.18,2.966,1238.812,34985,34985,0
43,50,loc,mruby_uninitialized_variable_trace,2,47.8,920,1.6,1.6,0,24.17,567.728,0.522,367.294,7544,34985.2,77.7096
44,31,basic block,nm_trace,2,12,287.8,2.6,3,0,0.466,0.688,0,18.124,1412.4,6636.4,0
45,71,loc with source,nm_trace,2,12,287.8,4.4,4.2,0,0.984,0.698,0,22.272,1482.4,5464.2,0.114
46,11,aurora,nm_trace,2,12,287.8,3,2,0,3.112,0.724,0,36.508,5453.2,5457.8,0
47,51,loc,nm_trace,2,12,287.8,4.4,4.2,0,0.982,0.674,0,21.54,1482.4,5464.2,149.429
48,32,basic block,patch_trace,2,187.6,866,5.6,5.8,0,3.516,1.876,0.006,62.238,1658.6,7768.8,0
49,72,loc with source,patch_trace,2,187.6,866,7,5,0,7.592,1.912,0.002,81.138,1202,4331.2,0.026
50,12,aurora,patch_trace,2,187.6,866,1.8,1.8,0,25.162,2.588,0.026,160.908,4331.2,4331.2,0
51,52,loc,patch_trace,2,187.6,866,6.8,4.8,0,7.488,1.878,0.004,80.65,1166.2,4331.2,33.1078
52,53,loc,perl_trace,2,60.8,1800.4,43,28,0,173.352,117.156,1.84,437.222,11006.4,25885,418.3332
53,13,aurora,perl_trace,2,60.8,1800.4,112.2,33,0,341.948,435.232,5.428,786.61,25882.2,25882.2,0
54,73,loc with source,perl_trace,2,60.8,1800.4,43,28,0,172.318,119.998,1.784,434.45,11005.8,25883.8,0.084
55,33,basic block,perl_trace,2,44.2,1418,17.2,14.2,0,55.47,67.3525,0.7025,247.316,3633.8,19411.6,0
56,54,loc,pngimage_trace,2,6.6,224.8,3.4,3.4,0,0.52,2.402,0.002,11.548,951.8,3846.4,34.5608
57,14,aurora,pngimage_trace,2,6.6,224.8,10,4.8,0,1.794,2.734,0.02,19.744,3846.4,3846.4,0
58,74,loc with source,pngimage_trace,2,6.6,224.8,3.4,3.4,0,0.518,2.36,0.004,11.388,937.8,3846.4,0.032
59,34,basic block,pngimage_trace,2,6.6,224.8,4,3.6,0,0.302,2.448,0.004,9.662,410.2,3888.4,0
60,75,loc with source,python_trace,0.5,11,272.5,276.5,188.5,0,32.34,13333.47,3.72,840.97,26912,66667.5,0.155
61,55,loc,python_trace,0.5,22,520,241,177,0,31.075,13038.23,3.645,825.15,26912,66667.5,188.859
62,35,basic block,python_trace,0.5,11,272.5,255.5,178,0,17.52,8382.97,1.61,446.77,11649,66974,0
63,15,aurora,python_trace,0.5,22,520,309,198,0,68.345,20912.92,9.05,2195.44,66678.5,66678.5,0
64,56,loc,readelf_trace,2,235.4,1484.2,2,2,0,19.586,6.244,0.024,138.72,1518.8,5092.4,92.558
65,36,basic block,readelf_trace,2,235.4,1484.2,1,1,0,8.724,6.906,0.018,118.76,1388.4,5660.4,0
66,16,aurora,readelf_trace,2,235.4,1484.2,4,2,0,52.124,14.084,0.154,210.626,5090.4,5090.4,0
67,76,loc with source,readelf_trace,2,235.4,1484.2,2,2,0,20.086,6.526,0.026,141.266,1524.8,5092.4,0.052
68,57,loc,tcpdump_trace,2,54.6,553.8,1.6,1.4,0,3.074,1.384,0.014,47.706,1932.4,8177.2,124.0556
69,77,loc with source,tcpdump_trace,2,54.6,553.8,1.6,1.4,0,3.082,1.42,0.014,48.944,1938.6,8177.2,0.096
70,17,aurora,tcpdump_trace,2,54.6,553.8,2.8,1.8,0,11.458,1.802,0.06,90.824,8222.2,8177.2,0
71,37,basic block,tcpdump_trace,2,54.6,553.8,23.4,17.2,1,1.312,1.388,0.01,37.592,1752,8756.6,0
72,58,loc,xmllint_trace,2,302.4,1062.2,31.4,29.4,0,26.788,8.59,0.252,192.014,4725,17989.2,157.086
73,78,loc with source,xmllint_trace,2,302.4,1062.2,31.4,29.4,0,26.762,8.26,0.23,184.602,4712.8,17989.6,0.162
74,38,basic block,xmllint_trace,2,302.4,1062.2,25.2,22.6,0,14.354,6.472,0.178,132.564,1992.8,10186.8,0
75,18,aurora,xmllint_trace,2,302.4,1062.2,87,54.6,0,94.294,25.8,1.346,442.954,17989.6,17989.6,0
76,39,basic block,ziptool_trace,2,29.6,276.6,6.6,5.6,0,0.43,0.768,0.006,15.444,1350,6301.8,0
77,19,aurora,ziptool_trace,2,29.6,276.6,8.8,6.8,0,2.758,0.932,0.022,52.782,4244.8,4244.8,0
78,59,loc,ziptool_trace,2,29.6,276.6,5.4,5.4,0,0.858,0.766,0.008,21.814,1093.6,4245.8,24.0506
79,79,loc with source,ziptool_trace,2,29.6,276.6,5.4,5.4,0,0.858,0.784,0.008,21.61,1093.6,4245.8,0.024
